year,month,count,volume,pitch
2011,2,1,1,6
2011,3,2,1,5
2011,4,0,0,0
2011,5,8,1,5
2011,6,53,3,6
2011,7,50,2,5
2011,8,48,2,7
2011,9,50,2,8
2011,10,13,1,1
2011,11,21,1,2
2011,12,49,2,4
2012,1,22,1,6
2012,2,20,1,2
2012,3,67,3,2
2012,4,33,2,3
2012,5,80,4,5
2012,6,106,4,6
2012,7,44,2,4
2012,8,87,4,6
2012,9,31,2,5
2012,10,88,4,4
2012,11,144,4,3
2012,12,56,3,5
2013,1,67,3,6
2013,2,43,2,6
2013,3,50,2,5
2013,4,23,1,6
2013,5,22,1,6
2013,6,24,1,3
2013,7,69,3,2
2013,8,35,2,1
2013,9,23,1,1
2013,10,68,3,1
2013,11,57,2,4
2013,12,31,2,5
2014,1,60,3,3
2014,2,36,2,4
2014,3,7,1,5
2014,4,20,1,6
2014,5,9,1,3
2014,6,11,1,2
2014,7,11,1,1
2014,8,5,1,4
2014,9,0,0,0
2014,10,7,1,5
2014,11,27,2,3
2014,12,21,1,2
